,Date,Lake,Lake Type,Water Temp,Water Temp Low ,Water Temp High ,Visibility,5 Fish Bag,Fish Caught,Fish Caught AM,Fish Caught PM,Fish over 3.5lbs,Hours Fished,AM Hours,PM Hours,Unnamed: 0,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,2022-01-01,Eloika Lake,Natural,34.0,34.0,34.0,,0.5,1,0,1,0.0,4.0,0.0,4.0,365,14.0,10.9,18.0,0.0,347.0,2.2,1027.9
1,2022-03-27,Eloika Lake,Natural,43.0,41.0,48.0,,0.0,0,0,0,0.0,5.0,4.0,1.0,450,53.8,41.0,69.1,0.0,351.0,1.0,1006.1
2,2022-04-10,Eloika Lake,Natural,49.0,48.0,50.0,3.0,2.0,2,0,2,0.0,4.0,0.0,4.0,464,35.4,28.9,44.1,0.0,260.0,5.4,1013.4
3,2022-04-17,Long Lake,Highland Reservior,45.0,42.0,46.0,3.0,0.0,0,0,0,0.0,9.0,3.0,6.0,471,39.6,33.1,48.9,0.024,197.0,7.3,1024.2
4,2022-04-24,Long Lake,Highland Reservior,48.0,47.0,52.0,4.0,5.0,2,0,2,0.0,10.0,2.0,8.0,478,50.4,35.1,64.9,0.0,37.0,2.8,1022.7
5,2022-05-10,Newman Lake,Natural,52.0,50.5,53.0,3.0,0.0,0,0,0,0.0,3.0,3.0,0.0,494,48.2,39.0,59.0,0.0,228.0,7.3,1018.0
6,2022-05-14,Eloika Lake,Natural,55.0,54.0,56.0,2.5,8.5,13,0,13,0.0,8.0,1.0,7.0,498,47.5,42.1,55.0,0.0,40.0,3.3,1020.2
7,2022-05-15,Eloika Lake,Natural,56.0,55.0,56.5,4.0,8.5,18,5,13,0.0,8.0,0.0,8.0,499,56.8,43.0,69.1,0.0,39.0,4.0,1016.5
8,2022-05-17,Snake River,River,55.0,54.0,56.0,1.5,7.5,25,2,23,0.0,6.0,4.0,2.0,501,52.9,42.1,62.1,0.0,265.0,6.7,1020.5
9,2022-05-18,Snake River,River,55.5,55.0,56.0,1.5,5.0,12,12,0,0.0,3.0,3.0,0.0,502,53.4,46.9,61.0,0.091,243.0,12.3,1014.1
10,2022-05-26,Long Lake,Highland Reservior,53.5,52.0,55.0,4.5,2.25,1,1,0,0.0,3.0,3.0,0.0,510,64.4,51.1,75.0,0.0,342.0,3.0,1011.0
11,2022-05-28,Long Lake,Highland Reservior,54.0,52.7,55.6,4.0,5.25,2,1,1,0.0,3.0,3.0,0.0,512,55.6,50.0,61.0,0.0,173.0,6.1,1007.1
12,2022-05-30,Long Lake,Highland Reservior,55.0,53.0,55.9,2.5,12.0,10,8,2,1.0,6.0,6.0,0.0,514,53.1,46.9,64.9,0.232,337.0,3.4,1016.4
13,2022-06-02,Long Lake,Highland Reservior,57.0,56.9,57.7,2.5,14.0,10,10,0,0.0,4.0,4.0,0.0,517,67.8,55.9,81.0,0.0,38.0,4.1,1011.2
14,2022-06-04,Long Lake,Highland Reservior,59.0,58.5,60.0,,11.75,12,9,3,0.0,9.0,7.0,2.0,519,55.4,50.0,60.1,0.335,293.0,3.2,1009.2
15,2022-06-07,Silver Lake,Natural ,66.0,64.0,69.0,4.0,5.25,2,0,2,,3.0,0.0,3.0,522,62.1,48.9,73.9,0.0,355.0,3.4,1016.9
16,2022-06-11,Long Lake,Highland Reservior,57.0,56.4,58.0,1.0,0.0,0,0,0,0.0,4.0,2.0,2.0,526,63.0,57.0,72.0,0.205,251.0,7.3,1010.1
17,2022-06-12,Loon Lake,Natural,64.5,64.0,65.0,7.0,12.25,30,30,0,1.0,7.0,7.0,0.0,527,61.3,52.0,69.1,0.35,255.0,5.6,1004.6
18,2022-06-14,Liberty Lake,Natural,65.0,64.0,66.0,6.0,12.5,12,0,12,0.0,4.0,0.0,4.0,529,51.8,44.1,57.9,0.0,245.0,10.1,1014.9
19,2022-06-17,Loon Lake,Natural,65.0,64.0,65.0,7.0,11.5,10,10,0,0.0,4.0,4.0,0.0,532,65.3,55.0,73.0,0.0,280.0,5.3,1003.6
20,2022-06-19,Loon Lake,Natural,65.0,65.0,65.0,7.0,7.5,10,10,0,0.0,4.0,4.0,0.0,534,56.1,51.1,64.0,0.102,281.0,4.0,1017.3
21,2022-06-20,Long Lake,Highland Reservior,57.0,56.0,57.5,2.0,12.0,30,20,10,2.0,8.0,6.0,2.0,535,59.9,53.1,71.1,0.154,283.0,5.5,1020.5
22,2022-06-23,Long Lake,Highland Reservior,57.5,56.5,58.0,2.0,10.0,3,0,3,0.0,3.5,0.0,3.5,538,64.9,54.0,73.0,0.0,275.0,6.1,1013.9
23,2022-06-29,Long Lake,Highland Reservior,57.5,56.5,58.0,3.0,17.13,25,25,0,2.0,4.0,4.0,0.0,544,66.4,55.9,77.0,0.0,256.0,8.0,1016.9
24,2022-07-04,Sacheen Lake,Natural,61.0,60.0,62.0,6.0,13.0,5,5,0,2.0,4.0,4.0,0.0,549,60.1,57.0,68.0,0.161,10.0,3.8,1013.2
25,2022-07-06,Sacheen Lake,Natural,64.5,64.0,65.0,5.0,2.5,5,0,5,0.0,3.5,0.0,3.5,551,70.0,59.0,82.0,0.161,1.0,2.2,1011.3
26,2022-07-13,Newman Lake,Natural,64.0,62.0,65.0,3.0,3.5,3,3,0,0.0,3.0,3.0,0.0,558,77.4,64.9,91.0,0.055,301.0,5.0,1009.3
27,2022-07-15,Newman Lake,Natural,65.0,63.0,66.0,4.0,7.0,3,3,0,0.0,3.0,3.0,0.0,560,73.2,57.9,91.0,0.0,17.0,4.3,1013.6
28,2022-07-16,Newman Lake,Natural,65.0,63.0,66.0,4.0,10.55,10,9,1,1.0,8.0,7.0,1.0,561,76.6,62.1,90.0,0.0,344.0,5.2,1013.2
29,2022-07-21,Long lake,Highland reservior,76.0,74.5,77.5,3.0,,10,10,0,0.0,4.0,4.0,0.0,566,77.9,62.1,93.9,0.0,19.0,6.2,1012.7
30,2022-07-24,Bonnie Lake,Natural,79.0,78.0,80.0,3.0,14.65,9,8,1,1.0,8.0,7.0,1.0,569,77.0,59.0,93.9,0.0,3.0,2.8,1014.8
31,2022-07-29,Long Lake,Highland Reservior,79.0,78.0,79.5,10.0,11.5,12,12,0,0.0,3.0,3.0,0.0,574,84.4,68.0,100.9,0.0,354.0,4.1,1009.8
32,2022-07-31,Long Lake,Highland Reservior,78.0,78.0,78.0,10.0,12.0,18,18,0,0.0,5.0,5.0,0.0,576,82.4,62.1,104.0,0.0,352.0,3.1,1010.1
33,2022-08-03,Long Lake,Highland Reservior,79.0,79.0,79.0,10.0,10.0,9,9,0,0.0,6.0,6.0,0.0,579,77.9,63.0,93.0,0.0,235.0,8.3,1009.4
34,2022-08-04,Silver Lake,Natural,78.0,78.0,78.0,8.0,17.5,15,0,15,2.0,2.5,0.0,2.5,580,72.7,59.0,82.0,0.0,242.0,9.9,1009.7
35,2022-08-05,Silver Lake,Natural,79.0,79.0,79.0,8.0,17.0,7,7,0,2.0,5.0,5.0,0.0,581,67.5,51.1,81.0,0.0,358.0,3.1,1014.1
36,2022-08-06,Silver Lake,Natural,79.0,79.0,79.0,8.0,5.0,2,2,0,0.0,4.0,4.0,0.0,582,69.4,52.0,86.0,0.0,346.0,2.1,1015.8
37,2022-08-07,Silver Lake,Natural,79.0,79.0,79.0,8.0,8.0,3,3,0,0.0,4.0,4.0,0.0,583,73.8,55.9,93.0,0.0,10.0,2.9,1017.1
38,2022-08-09,Long Lake,Highland Reservior,79.0,78.0,80.0,9.0,7.0,7,7,0,0.0,6.0,6.0,0.0,585,78.4,61.0,93.9,0.0,11.0,3.1,1012.7
39,2022-08-17,Eloika Lake,Natural,75.0,74.0,76.0,3.0,9.5,7,7,0,1.0,7.0,7.0,0.0,593,79.2,59.0,100.0,0.0,9.0,2.5,1015.3
40,2022-08-22,Newman Lake,Natural,79.0,79.0,79.0,4.0,11.5,6,6,0,1.0,6.0,6.0,0.0,598,72.5,60.1,90.0,0.0,10.0,1.6,1015.7
41,2022-08-23,Silver Lake,Natural,79.0,79.0,79.0,10.0,10.5,3,3,0,2.0,4.0,4.0,0.0,599,74.3,59.0,89.1,0.0,9.0,3.0,1013.6
42,2022-08-25,Long Lake,Highland reservior,75.0,76.0,75.0,8.0,9.0,5,5,0,0.0,3.5,3.5,0.0,601,74.8,64.0,89.1,0.0,359.0,4.2,1013.2
43,2022-08-26,Eloika Lake,Natural,79.0,78.0,80.0,3.0,10.5,5,5,0,2.0,7.0,7.0,0.0,602,75.0,59.0,90.0,0.0,319.0,6.3,1009.4
44,2022-08-28,Silver Lake,Natural,78.0,77.0,80.0,10.0,15.5,7,7,0,1.0,6.0,6.0,0.0,604,64.0,48.9,78.1,0.0,334.0,3.3,1013.3
45,2022-09-04,Pend Orielle River,Damned river,69.0,66.0,72.0,3.0,5.0,60,60,0,0.0,6.0,6.0,0.0,611,70.2,55.9,86.0,0.0,351.0,5.1,1015.5
46,2022-09-10,Bonnie Lake,Natural,69.0,68.0,70.0,3.0,4.0,6,6,0,0.0,5.5,4.0,1.5,617,63.5,45.0,82.0,0.0,11.0,1.1,1017.2
47,2022-09-11,Bonnie Lake,Natural,68.0,66.0,70.0,2.0,6.5,25,25,0,0.0,4.0,4.0,0.0,618,63.7,48.0,82.0,0.0,23.0,2.5,1017.6
48,2022-09-18,Long Lake,Highland Reservior,66.0,63.0,67.0,8.0,7.0,15,15,0,0.0,4.0,4.0,0.0,625,62.6,50.0,73.9,0.024,355.0,1.0,1007.5
49,2022-09-24,Silver Lake,Natural,66.0,67.0,66.0,8.0,13.5,4,0,4,2.0,2.5,0.0,2.5,631,60.8,46.0,78.1,0.0,10.0,2.1,1022.6
50,2022-09-26,Long Lake,Highland Reservior,66.0,66.0,66.0,12.0,8.5,5,5,0,0.0,5.0,5.0,0.0,633,65.1,48.0,87.1,0.0,17.0,1.9,1018.3
51,2022-10-07,Silver Lake,Natural,65.0,64.0,65.0,8.0,15.0,7,6,1,1.0,7.0,6.0,1.0,644,61.3,48.0,78.1,0.0,358.0,0.7,1023.9
52,2022-10-09,Long Lake,Highland Reservior,64.5,64.0,65.0,6.0,12.5,10,8,2,0.0,4.0,3.0,1.0,646,58.3,45.0,77.0,0.0,5.0,1.1,1021.0
53,2022-10-16,Dworshak Reservior,Highland Reservior,65.0,63.0,65.0,3.0,10.5,30,26,4,0.0,9.0,7.0,2.0,653,55.9,42.1,77.0,0.0,6.0,1.2,1020.7
54,2022-10-17,Dworshak Reservior,Highland Reservior,64.0,63.0,64.0,3.0,9.5,15,15,0,0.0,3.0,3.0,0.0,654,54.7,42.1,75.0,0.0,7.0,0.9,1020.5
55,2022-10-29,Eloika Lake,Natural,49.0,47.0,49.0,4.0,0.0,0,0,0,0.0,4.0,3.0,1.0,666,47.1,39.9,57.0,0.0,350.0,3.0,1024.3
