,Date,Lake,Lake Type,Water Temp,Water Temp Low ,Water Temp High ,Visibility,5 Fish Bag,Fish Caught,Fish Caught AM,Fish Caught PM,Fish over 3.5lbs,Hours Fished,AM Hours,PM Hours,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,1/1/2022,Eloika Lake,Natural,34,34,34,3,0.5,1,0,1,0,4,0,4,14,10.9,18,0,347,2.2,1027.9
1,3/27/2022,Eloika Lake,Natural,43,41,48,3,0,0,0,0,0,5,4,1,53.8,41,69.1,0,351,1,1006.1
2,4/10/2022,Eloika Lake,Natural,49,48,50,3,2,2,0,2,0,4,0,4,35.4,28.9,44.1,0,260,5.4,1013.4
3,4/17/2022,Long Lake,Highland Reservior,45,42,46,3,0,0,0,0,0,9,3,6,39.6,33.1,48.9,0.024,197,7.3,1024.2
4,4/24/2022,Long Lake,Highland Reservior,48,47,52,4,5,2,0,2,0,10,2,8,50.4,35.1,64.9,0,37,2.8,1022.7
5,5/10/2022,Newman Lake,Natural,52,50.5,53,3,0,0,0,0,0,3,3,0,48.2,39,59,0,228,7.3,1018
6,5/14/2022,Eloika Lake,Natural,55,54,56,2.5,8.5,13,0,13,0,8,1,7,47.5,42.1,55,0,40,3.3,1020.2
7,5/15/2022,Eloika Lake,Natural,56,55,56.5,4,8.5,18,5,13,0,8,0,8,56.8,43,69.1,0,39,4,1016.5
8,5/17/2022,Snake River,River,55,54,56,1.5,7.5,25,2,23,0,6,4,2,52.9,42.1,62.1,0,265,6.7,1020.5
9,5/18/2022,Snake River,River,55.5,55,56,1.5,5,12,12,0,0,3,3,0,53.4,46.9,61,0.091,243,12.3,1014.1
10,5/26/2022,Long Lake,Highland Reservior,53.5,52,55,4.5,2.25,1,1,0,0,3,3,0,64.4,51.1,75,0,342,3,1011
11,5/28/2022,Long Lake,Highland Reservior,54,52.7,55.6,4,5.25,2,1,1,0,3,3,0,55.6,50,61,0,173,6.1,1007.1
12,5/30/2022,Long Lake,Highland Reservior,55,53,55.9,2.5,12,10,8,2,1,6,6,0,53.1,46.9,64.9,0.232,337,3.4,1016.4
13,6/2/2022,Long Lake,Highland Reservior,57,56.9,57.7,2.5,14,10,10,0,0,4,4,0,67.8,55.9,81,0,38,4.1,1011.2
14,6/4/2022,Long Lake,Highland Reservior,59,58.5,60,3,11.75,12,9,3,0,9,7,2,55.4,50,60.1,0.335,293,3.2,1009.2
15,6/7/2022,Silver Lake,Natural ,66,64,69,4,5.25,2,0,2,1,3,0,3,62.1,48.9,73.9,0,355,3.4,1016.9
16,6/11/2022,Long Lake,Highland Reservior,57,56.4,58,1,0,0,0,0,0,4,2,2,63,57,72,0.205,251,7.3,1010.1
17,6/12/2022,Loon Lake,Natural,64.5,64,65,7,12.25,30,30,0,1,7,7,0,61.3,52,69.1,0.35,255,5.6,1004.6
18,6/14/2022,Liberty Lake,Natural,65,64,66,6,12.5,12,0,12,0,4,0,4,51.8,44.1,57.9,0,245,10.1,1014.9
19,6/17/2022,Loon Lake,Natural,65,64,65,7,11.5,10,10,0,0,4,4,0,65.3,55,73,0,280,5.3,1003.6
20,6/19/2022,Loon Lake,Natural,65,65,65,7,7.5,10,10,0,0,4,4,0,56.1,51.1,64,0.102,281,4,1017.3
21,6/20/2022,Long Lake,Highland Reservior,57,56,57.5,2,12,30,20,10,2,8,6,2,59.9,53.1,71.1,0.154,283,5.5,1020.5
22,6/23/2022,Long Lake,Highland Reservior,57.5,56.5,58,2,10,3,0,3,0,3.5,0,3.5,64.9,54,73,0,275,6.1,1013.9
23,6/29/2022,Long Lake,Highland Reservior,57.5,56.5,58,3,17.13,25,25,0,2,4,4,0,66.4,55.9,77,0,256,8,1016.9
24,7/4/2022,Sacheen Lake,Natural,61,60,62,6,13,5,5,0,2,4,4,0,60.1,57,68,0.161,10,3.8,1013.2
25,7/6/2022,Sacheen Lake,Natural,64.5,64,65,5,2.5,5,0,5,0,3.5,0,3.5,70,59,82,0.161,1,2.2,1011.3
26,7/13/2022,Newman Lake,Natural,64,62,65,3,3.5,3,3,0,0,3,3,0,77.4,64.9,91,0.055,301,5,1009.3
27,7/15/2022,Newman Lake,Natural,65,63,66,4,7,3,3,0,0,3,3,0,73.2,57.9,91,0,17,4.3,1013.6
28,7/16/2022,Newman Lake,Natural,65,63,66,4,10.55,10,9,1,1,8,7,1,76.6,62.1,90,0,344,5.2,1013.2
29,7/21/2022,Long lake,Highland reservior,76,74.5,77.5,3,,10,10,0,0,4,4,0,77.9,62.1,93.9,0,19,6.2,1012.7
30,7/24/2022,Bonnie Lake,Natural,79,78,80,3,14.65,9,8,1,1,8,7,1,77,59,93.9,0,3,2.8,1014.8
31,7/29/2022,Long Lake,Highland Reservior,79,78,79.5,10,11.5,12,12,0,0,3,3,0,84.4,68,100.9,0,354,4.1,1009.8
32,7/31/2022,Long Lake,Highland Reservior,78,78,78,10,12,18,18,0,0,5,5,0,82.4,62.1,104,0,352,3.1,1010.1
33,8/3/2022,Long Lake,Highland Reservior,79,79,79,10,10,9,9,0,0,6,6,0,77.9,63,93,0,235,8.3,1009.4
34,8/4/2022,Silver Lake,Natural,78,78,78,8,17.5,15,0,15,2,2.5,0,2.5,72.7,59,82,0,242,9.9,1009.7
35,8/5/2022,Silver Lake,Natural,79,79,79,8,17,7,7,0,2,5,5,0,67.5,51.1,81,0,358,3.1,1014.1
36,8/6/2022,Silver Lake,Natural,79,79,79,8,5,2,2,0,0,4,4,0,69.4,52,86,0,346,2.1,1015.8
37,8/7/2022,Silver Lake,Natural,79,79,79,8,8,3,3,0,0,4,4,0,73.8,55.9,93,0,10,2.9,1017.1
38,8/9/2022,Long Lake,Highland Reservior,79,78,80,9,7,7,7,0,0,6,6,0,78.4,61,93.9,0,11,3.1,1012.7
39,8/17/2022,Eloika Lake,Natural,75,74,76,3,9.5,7,7,0,1,7,7,0,79.2,59,100,0,9,2.5,1015.3
40,8/22/2022,Newman Lake,Natural,79,79,79,4,11.5,6,6,0,1,6,6,0,72.5,60.1,90,0,10,1.6,1015.7
41,8/23/2022,Silver Lake,Natural,79,79,79,10,10.5,3,3,0,2,4,4,0,74.3,59,89.1,0,9,3,1013.6
42,8/25/2022,Long Lake,Highland reservior,75,76,75,8,9,5,5,0,0,3.5,3.5,0,74.8,64,89.1,0,359,4.2,1013.2
43,8/26/2022,Eloika Lake,Natural,79,78,80,3,10.5,5,5,0,2,7,7,0,75,59,90,0,319,6.3,1009.4
44,8/28/2022,Silver Lake,Natural,78,77,80,10,15.5,7,7,0,1,6,6,0,64,48.9,78.1,0,334,3.3,1013.3
45,9/4/2022,Pend Orielle River,Damned river,69,66,72,3,5,60,60,0,0,6,6,0,70.2,55.9,86,0,351,5.1,1015.5
46,9/10/2022,Bonnie Lake,Natural,69,68,70,3,4,6,6,0,0,5.5,4,1.5,63.5,45,82,0,11,1.1,1017.2
47,9/11/2022,Bonnie Lake,Natural,68,66,70,2,6.5,25,25,0,0,4,4,0,63.7,48,82,0,23,2.5,1017.6
48,9/18/2022,Long Lake,Highland Reservior,66,63,67,8,7,15,15,0,0,4,4,0,62.6,50,73.9,0.024,355,1,1007.5
49,9/24/2022,Silver Lake,Natural,66,67,66,8,13.5,4,0,4,2,2.5,0,2.5,60.8,46,78.1,0,10,2.1,1022.6
50,9/26/2022,Long Lake,Highland Reservior,66,66,66,12,8.5,5,5,0,0,5,5,0,65.1,48,87.1,0,17,1.9,1018.3
51,10/7/2022,Silver Lake,Natural,65,64,65,8,15,7,6,1,1,7,6,1,61.3,48,78.1,0,358,0.7,1023.9
52,10/9/2022,Long Lake,Highland Reservior,64.5,64,65,6,12.5,10,8,2,0,4,3,1,58.3,45,77,0,5,1.1,1021
53,10/16/2022,Dworshak Reservior,Highland Reservior,65,63,65,3,10.5,30,26,4,0,9,7,2,55.9,42.1,77,0,6,1.2,1020.7
54,10/17/2022,Dworshak Reservior,Highland Reservior,64,63,64,3,9.5,15,15,0,0,3,3,0,54.7,42.1,75,0,7,0.9,1020.5
55,10/29/2022,Eloika Lake,Natural,49,47,49,4,0,0,0,0,0,4,3,1,47.1,39.9,57,0,350,3,1024.3
